# doc_id=5-SPC-CS6-R2 Carbon Steel Pipe discipline=5 revision=R2
,VALVES,,,,,,Type/Rating,,,,,,NPT Threaded,,,,,,,,,,,,RF Flanged/ASME B16.5 Class 150,,,,,,,,,,,,,,,,,,,,,,RF Flanged ASME B16.47 Ser. A Class 150,,,,,,,,,,,,,
,IN-LINE ITEMS,,,,,,Type/Rating,,,,,,NPT Threaded,,,,,,,,,,,,RF Flanged/ASME B16.5 Class 150,,,,,,,,,,,,,,,,,,,,,,RF Flanged ASME B16.47 Ser. A Class 150,,,,,,,,,,,,,
,HP & LP,,,,,,Type/Rating,,,,,,NPT Threaded,,,,,,,,,,,,RF Flanged/ASME B16.5 Class 150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,INST. CONN.,,,,,,Type/Rating,,,,,,See 5-LST-0011: Standard Piping Connections for Instrumentation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,See page 2 for branch connections.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.0,Piping will be supplied with lacquer coating.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.0,Pipe will be identified with a  painted (white) stripe along its entire length.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.0,Weld neck flanges may be used adjacent to fittings.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.0,Straight-seam fusion welded.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
