# doc_id=0-LST-6001 discipline=0 revision=R2
col_0,col_1,Item,Record,Action,By,Comments
,,Optimise qty of joints / minimise flanges,,,,
,,Optimise field joints,,,,
,,"Paint, insulate off site where possible",,,,
,,Optimise pipe racks / pre-assemble,,,,
,,Hydro test / clean offsite where possible,,,,
,,"Standardise supports, support off vessels",,,,
,,Consider continuous tray supports for plastic lines,,,,
,,Minimise flexible connectors,,,,
,,Electrical,,,,
,,Define hazardous areas,,,,
,,"Define and install u/g cable early, avoid where possible",,,,
,,Define and install u/g earthing early,,,,
,,"Pre-fabricate MCC / electrical buildings, equipment",,,,
,,Pre-test equipment off site,,,,
,,"Pre-install lighting on equipment, modules",,,,
,,Review cable tray material / layout criteria / confirm clash checks,,,,
,,Instrumentation,,,,
,,Define hazardous areas,,,,
,,"Pre-install instruments on equipment, skids",,,,
,,Pre-test DCS / PLC’s,,,,
,,Pre-calibrate field instruments,,,,
,,Consider field bus,,,,
,,Consider field I/O cabinets,,,,
,,Consider junction boxes,,,,
